image_id,sheet,excel_row,excel_column,project_raw,project_normalized,season,making,type,source_file,extracted_file,width,height,file_size,sha256,image_sequence,mapping_type,confidence,verification_status,notes
WINTER_FLAT__row_16__image47.jpeg__a13,WINTER FLAT,16,6,HASTING,HASTING,WINTER,CONVYER,LADIES,image47.jpeg,extracted-images/WINTER_FLAT/row_16/01.jpeg,169,106,4534,d81e8ffcd84e2e7327d9537fe5dcbd3680f9f020812c3b999e8beafd1c413332,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_17__image48.jpeg__a14,WINTER FLAT,17,6,BUGATTI,BUGATTI,WINTER,CONVYER,LADIES,image48.jpeg,extracted-images/WINTER_FLAT/row_17/01.jpeg,172,106,4622,8a90c644b1140c7603745bee7b78e27a7d39138db7d145f868c88915f3577583,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_18__image49.jpeg__a15,WINTER FLAT,18,6,NAPIER,NAPIER,WINTER,CONVYER,LADIES,image49.jpeg,extracted-images/WINTER_FLAT/row_18/01.jpeg,170,105,3970,0d5e4622e221960beb239c24b81cf8484631dd884d2a12cd7d6e67bbdfdaadda,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_19__image50.jpeg__a16,WINTER FLAT,19,6,SCENT,SCENT,WINTER,CONVYER,LADIES,image50.jpeg,extracted-images/WINTER_FLAT/row_19/01.jpeg,100,146,2687,348a76c81cee89e8bfcac5b9a90b9df0ebb775af8bd4893b107067034bc32648,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_21__image51.png__a17,WINTER FLAT,21,6,MM2,MM2,WINTER,CONVYER,LADIES,image51.png,extracted-images/WINTER_FLAT/row_21/01.png,90,160,11519,b18b95807d0c79b9ad5b7b0a600540f54eb09344977c66258cdbd8d9cc61b2b5,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_26__image52.jpeg__a18,WINTER FLAT,26,6,PVC BLADE,PVC BLADE,WINTER,CONVYER,LADIES,image52.jpeg,extracted-images/WINTER_FLAT/row_26/01.jpeg,153,102,2709,b2428cb972746109a33ac7aed2cc7c672487889f5da0ce3e4e7a9ce01714e6a4,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_27__image53.jpeg__a19,WINTER FLAT,27,6,OYNX,OYNX,WINTER,CONVYER,LADIES,image53.jpeg,extracted-images/WINTER_FLAT/row_27/01.jpeg,95,163,5940,a30592bf2cb2c553c629d86fcf17f87616279e39e81aaa162c4c887cc569a6ce,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_39__image54.png__a20,WINTER FLAT,39,6,,,,,,image54.png,extracted-images/_unmatched/WINTER_FLAT/row_39/02.png,821,383,312585,e47807f306558bac95c1a82fe5cadccde56c898b0126f0464a6477929428dc56,2,unmatched,LOW,UNMATCHED,degenerate anchor extent (0 width/height); No article row at anchored excel_row
WINTER_FLAT__row_39__image55.png__a21,WINTER FLAT,39,4,,,,,,image55.png,extracted-images/_unmatched/WINTER_FLAT/row_39/01.png,386,614,234961,b5f3db030fe05a641532a968899087274c53ca7f66375af936ef2cd9454e6067,1,unmatched,LOW,UNMATCHED,No article row at anchored excel_row
WINTER_FLAT__row_23__image56.jpeg__a22,WINTER FLAT,23,6,GLOW-24,GLOW-24,WINTER,CONVYER,LADIES,image56.jpeg,extracted-images/WINTER_FLAT/row_23/01.jpeg,90,166,3202,861230fdf1e2eae76133016ad4d0ffc6e721622fc169000e8505c0d5d4128f90,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_4__image57.png__a24,WINTER FLAT,4,6,MONICA,MONICA,WINTER,CONVYER,LADIES,image57.png,extracted-images/WINTER_FLAT/row_4/02.png,142,66,17411,5e92adf4b5eefdded9d5b9d2fe32fb716d0aa314e97c42fced0d46a3db0a3e74,2,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_4__image58.png__a25,WINTER FLAT,4,6,MONICA,MONICA,WINTER,CONVYER,LADIES,image58.png,extracted-images/WINTER_FLAT/row_4/01.png,145,35,9174,c67187007a64989748a04c38a57a96a461f0713c1027e082320e5b43193675f8,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_28__image59.jpeg__a26,WINTER FLAT,28,6,LECCE,LECCE,WINTER,CONVYER,LADIES,image59.jpeg,extracted-images/WINTER_FLAT/row_28/01.jpeg,170,106,3429,1a050253924b9e2994a446d6fe2f757a77ea1c2374067f84e892dcb50dbd9dc6,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_6__image35.png__a27,WINTER FLAT,6,6,RAVI,RAVI,WINTER,CONVYER,KIDS,image35.png,extracted-images/WINTER_FLAT/row_6/01.png,159,99,23157,4e243d4ab5bfabae2dcc1f8a1a75e728de6068daf85fb2603ef29bbc5a0139f7,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_22__image51.png__a28,WINTER FLAT,22,6,MM2,MM2,WINTER,CONVYER,KIDS,image51.png,extracted-images/WINTER_FLAT/row_22/01.png,90,160,11519,b18b95807d0c79b9ad5b7b0a600540f54eb09344977c66258cdbd8d9cc61b2b5,1,drawing_anchor,HIGH,VERIFIED,
WINTER_PU__row_3__image60.png__a0,WINTER PU,3,6,ELEGANCE,ELEGANCE,WINTER,CONVYER,LADIES,image60.png,extracted-images/WINTER_PU/row_3/01.png,148,90,21418,ee71d680f525603c20e7cc5c231b1621a5eeb0acaeec09edf1cb93d2972c9cc0,1,drawing_anchor,HIGH,VERIFIED,
WINTER_PU__row_6__image61.jpeg__a1,WINTER PU,6,6,MILA,MILA,WINTER,CONVYER,LADIES,image61.jpeg,extracted-images/WINTER_PU/row_6/01.jpeg,92,152,5194,0c6367b9d9de1e1e3eaa974b2624168c94491171f557bb2c6295b747f9deaca4,1,drawing_anchor,HIGH,VERIFIED,
WINTER_PU__row_16__image54.png__a2,WINTER PU,16,6,,,,,,image54.png,extracted-images/_unmatched/WINTER_PU/row_16/02.png,821,383,312585,e47807f306558bac95c1a82fe5cadccde56c898b0126f0464a6477929428dc56,2,unmatched,LOW,UNMATCHED,degenerate anchor extent (0 width/height); No article row at anchored excel_row
WINTER_PU__row_16__image55.png__a3,WINTER PU,16,4,,,,,,image55.png,extracted-images/_unmatched/WINTER_PU/row_16/01.png,386,614,234961,b5f3db030fe05a641532a968899087274c53ca7f66375af936ef2cd9454e6067,1,unmatched,LOW,UNMATCHED,No article row at anchored excel_row
WINTER_PU__row_4__image62.png__a4,WINTER PU,4,6,BICA,BICA,WINTER,CONVYER,LADIES,image62.png,extracted-images/WINTER_PU/row_4/01.png,137,102,25048,c7a8aa91d90d4ff3d9099ff57cb3b0e44af9e2f69836feb8f988300ae91043a1,1,drawing_anchor,HIGH,VERIFIED,
WINTER_PU__row_5__image63.jpeg__a6,WINTER PU,5,6,CHUNKI / ZENKA,CHUNKI / ZENKA,WINTER,CONVYER,LADIES,image63.jpeg,extracted-images/WINTER_PU/row_5/01.jpeg,84,147,4484,556382535701f0b723dfb688b2a19eac06f4faeb637fadfd1653f61ae89fb032,1,drawing_anchor,HIGH,VERIFIED,
WINTER_DIP_PU__row_3__image64.jpeg__a0,WINTER DIP PU,3,6,ARIA ,ARIA,WINTER,DIP,KIDS,image64.jpeg,extracted-images/WINTER_DIP_PU/row_3/01.jpeg,79,148,3112,e9948263d972e6e250af0a9421ef4b6ee64cd7bfff2073133d5738c9ef26990c,1,drawing_anchor,HIGH,VERIFIED,
WINTER_DIP_PU__row_4__image65.jpeg__a1,WINTER DIP PU,4,6,KIAN,KIAN,WINTER,DIP,KIDS,image65.jpeg,extracted-images/WINTER_DIP_PU/row_4/01.jpeg,170,106,3134,36aa3eb20961b90b597b811ef95986189e8aabeef0831b02b823d6e7da22363f,1,drawing_anchor,HIGH,VERIFIED,
WINTER_DIP_PU__row_6__image66.jpeg__a2,WINTER DIP PU,6,6,DELAA,DELAA,WINTER,DIP,LADIES,image66.jpeg,extracted-images/WINTER_DIP_PU/row_6/01.jpeg,171,107,4523,95250cbda12830ad01c080b6482f1e0bb2c74bf91735f9a1097948433a6ba381,1,drawing_anchor,HIGH,VERIFIED,
WINTER_DIP_PU__row_7__image67.jpeg__a3,WINTER DIP PU,7,6,MERCURY,MERCURY,WINTER,DIP,LADIES,image67.jpeg,extracted-images/WINTER_DIP_PU/row_7/01.jpeg,172,103,4210,bebd0235308ffbe22521d7be1faee9665718f6ad1321d4938911175baba87022,1,drawing_anchor,HIGH,VERIFIED,
WINTER_DIP_PU__row_8__image68.jpeg__a4,WINTER DIP PU,8,6,MARS,MARS,WINTER,DIP,LADIES,image68.jpeg,extracted-images/WINTER_DIP_PU/row_8/01.jpeg,170,105,4100,7b5404f8e800e79c08eff998b001ff5970d68b2bd6ac6c01c4cd0c0d20214003,1,drawing_anchor,HIGH,VERIFIED,
WINTER_DIP_PU__row_9__image69.jpeg__a5,WINTER DIP PU,9,6,JUPITER,JUPITER,WINTER,DIP,LADIES,image69.jpeg,extracted-images/WINTER_DIP_PU/row_9/01.jpeg,170,105,3877,ca65dd4d31dcef450d53616a2ba8f1be835e9ceb53ab81ab777a975466ef24d8,1,drawing_anchor,HIGH,VERIFIED,
WINTER_DIP_PU__row_5__image70.jpeg__a6,WINTER DIP PU,5,6,MASON,MASON,WINTER,DIP,KIDS,image70.jpeg,extracted-images/WINTER_DIP_PU/row_5/01.jpeg,171,91,3742,d8cdd658c6f342f4d8c943e9211bfdf4aaae736cded5cd2e6464840effa0a719,1,drawing_anchor,HIGH,VERIFIED,
WINTER_DIP_PU__row_19__image54.png__a7,WINTER DIP PU,19,6,,,,,,image54.png,extracted-images/_unmatched/WINTER_DIP_PU/row_19/02.png,821,383,312585,e47807f306558bac95c1a82fe5cadccde56c898b0126f0464a6477929428dc56,2,unmatched,LOW,UNMATCHED,degenerate anchor extent (0 width/height); No article row at anchored excel_row
WINTER_DIP_PU__row_19__image55.png__a8,WINTER DIP PU,19,4,,,,,,image55.png,extracted-images/_unmatched/WINTER_DIP_PU/row_19/01.png,386,614,234961,b5f3db030fe05a641532a968899087274c53ca7f66375af936ef2cd9454e6067,1,unmatched,LOW,UNMATCHED,No article row at anchored excel_row
WINTER_DIP_PVC__row_4__image71.png__a0,WINTER DIP PVC,4,6,Dora,DORA,WINTER,DIP,KIDS,image71.png,extracted-images/WINTER_DIP_PVC/row_4/02.png,140,36,6683,a0b491313ed60921ef12cd2849a6461b2e39c6bdb29de5139fa46be5ead9c349,2,drawing_anchor,HIGH,VERIFIED,
WINTER_DIP_PVC__row_4__image72.png__a1,WINTER DIP PVC,4,6,Dora,DORA,WINTER,DIP,KIDS,image72.png,extracted-images/WINTER_DIP_PVC/row_4/01.png,135,54,11188,4708a4d24b114548d3903bd182f5cd87864defef936273e3071f5d45134862ad,1,drawing_anchor,HIGH,VERIFIED,
WINTER_DIP_PVC__row_6__image73.png__a2,WINTER DIP PVC,6,6,RIVO,RIVO,WINTER,DIP,LADIES,image73.png,extracted-images/WINTER_DIP_PVC/row_6/01.png,162,101,19925,2cf7b614979c2af392e1dd417cad033e8770ad994d3098ecc813c8bb9afac5d2,1,drawing_anchor,HIGH,VERIFIED,
WINTER_DIP_PVC__row_8__image74.jpeg__a3,WINTER DIP PVC,8,6,WAX,WAX,WINTER,DIP,LADIES,image74.jpeg,extracted-images/WINTER_DIP_PVC/row_8/01.jpeg,166,102,2908,9df3bab8a20ffe373ef72af429358e70a3e9c6ccfe98eab65c1977a0246bdb63,1,drawing_anchor,HIGH,VERIFIED,
