sheet,excel_row,source_id,no,season,making,type,project,picture,size_range,qty,material,colour,remarks,season_normalized,making_normalized,type_normalized,project_normalized
WINTER DIP PVC,5,WINTER DIP PVC::5,3,WINTER,DIP,KIDS,SKATE,Picture,26-37,12,PVC,WHITE,BENLONG,WINTER,DIP,KIDS,SKATE
WINTER DIP PVC,6,WINTER DIP PVC::6,4,WINTER,DIP,LADIES,RIVO,Picture,36-41,12,PVC,WHITE,BENLONG,WINTER,DIP,LADIES,RIVO
WINTER DIP PVC,7,WINTER DIP PVC::7,5,WINTER,DIP,LADIES,BRIGHT,Picture,36-41,12,PVC,WHITE/BEIGE,BENLONG,WINTER,DIP,LADIES,BRIGHT
WINTER DIP PVC,8,WINTER DIP PVC::8,6,WINTER,DIP,LADIES,WAX,Picture,36-41,12,PVC,WHITE,BENLONG,WINTER,DIP,LADIES,WAX
WINTER DIP PVC,9,WINTER DIP PVC::9,7,WINTER,DIP,LADIES,PRISIM,Picture,36 -41,12pair,PVC,WHITE,XINGZHONG,WINTER,DIP,LADIES,PRISIM
WINTER DIP PVC,10,WINTER DIP PVC::10,8,WINTER,DIP,LADIES,VIVID,Picture,36 -41,12pair,PVC,BLACK,XINGZHONG,WINTER,DIP,LADIES,VIVID
WINTER DIP PVC,11,WINTER DIP PVC::11,9,WINTER,DIP,LADIES,VOGUE,Picture,36 -41,12pair,PVC,WHITE,XINGZHONG,WINTER,DIP,LADIES,VOGUE
WINTER DIP PVC,12,WINTER DIP PVC::12,10,WINTER,DIP,LADIES,ECHO,Picture,36 -41,12pair,PVC,BLACK,XINGZHONG,WINTER,DIP,LADIES,ECHO
WINTER DIP PVC,13,WINTER DIP PVC::13,11,WINTER,DIP,LADIES,ESSENCE,Picture,36 -41,12pair,PVC,BLACK,XINGZHONG,WINTER,DIP,LADIES,ESSENCE
WINTER DIP PVC,14,WINTER DIP PVC::14,12,WINTER,DIP,LADIES,NOVA,Picture,36 -41,12pair,PVC,WHITE,XINGZHONG,WINTER,DIP,LADIES,NOVA
WINTER DIP PVC,15,WINTER DIP PVC::15,13,WINTER,DIP,LADIES,JETTY,Picture,36-41,.,PVC,BLACK,BENLONG,WINTER,DIP,LADIES,JETTY
WINTER DIP PVC,16,WINTER DIP PVC::16,14,WINTER,DIP,LADIES,JAFNA,Picture,36-41,.,PVC,BLACK,BENLONG,WINTER,DIP,LADIES,JAFNA
WINTER DIP PVC,17,WINTER DIP PVC::17,15,WINTER,DIP,LADIES,JAIN,,36-41,.,PVC,WHITE,BENLONG,WINTER,DIP,LADIES,JAIN
WINTER DIP PVC,18,WINTER DIP PVC::18,16,WINTER,DIP,KIDS,BENNY-K,,28-35,.,PVC,BLACK,BENLONG,WINTER,DIP,KIDS,BENNY-K
WINTER DIP PVC,19,WINTER DIP PVC::19,17,WINTER,DIP,GENTS,25009,Picture,42,"1pair
PROTO",PVC,WHITE,"LAYER BENLONG
MAIN SHOE XINGZHONG",WINTER,DIP,GENTS,25009
WINTER DIP PVC,20,WINTER DIP PVC::20,18,WINTER,DIP,KIDS,HOPE,Picture,31,"1pair
PROTO",PVC,WHITE,BENLONG,WINTER,DIP,KIDS,HOPE
WINTER DIP PVC,21,WINTER DIP PVC::21,19,WINTER,DIP,KIDS,BERENA,Picture,31,"1pair
PROTO",PVC,WHITE,BENLONG,WINTER,DIP,KIDS,BERENA
WINTER DIP PVC,22,WINTER DIP PVC::22,20,WINTER,DIP,LADIES,ASOLO,Picture,37,"1pair
PROTO",PVC,WHITE,BENLONG,WINTER,DIP,LADIES,ASOLO
WINTER DIP PVC,23,WINTER DIP PVC::23,21,WINTER,DIP,LADIES,BOZEN,Picture,37,"1pair
PROTO",PVC,CREAM,BENLONG,WINTER,DIP,LADIES,BOZEN
WINTER DIP PVC,24,WINTER DIP PVC::24,22,WINTER,DIP,KIDS,AMALIA,Picture,26-37,24,PVC,.,XINGZHONG,WINTER,DIP,KIDS,AMALIA
WINTER DIP PVC,25,WINTER DIP PVC::25,23,WINTER,DIP,KIDS,RIVER,Picture,26-37,24,PVC,.,XINGZHONG,WINTER,DIP,KIDS,RIVER
WINTER DIP PVC,26,WINTER DIP PVC::26,24,WINTER,DIP,KIDS,LIAM,Picture,26-37,24,PVC,.,XINGZHONG,WINTER,DIP,KIDS,LIAM
WINTER DIP PVC,27,WINTER DIP PVC::27,25,WINTER,DIP,KIDS,ALINA,Picture,26-37,24,PVC,.,XINGZHONG,WINTER,DIP,KIDS,ALINA
WINTER DIP PVC,28,WINTER DIP PVC::28,26,WINTER,DIP,KIDS,MARIA,Picture,26-37,24,PVC,.,XINGZHONG,WINTER,DIP,KIDS,MARIA
