sheet,excel_row,project_raw,season,making,type,image_count,status,notes
SUMMER PU,39,WEST,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,40,25620 SOLE,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,41,25620,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,42,DERBY,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,43,RENO,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,44,CHESTOR,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,45,VICTORIA,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,46,HARLEY,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,47,Blasé,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,48,BLOSIM,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,49,BLUMA,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,50,BRENNA,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,51,Lia-Wedge,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,52,ANDORA,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,53,Ocean,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,54,Venus,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,55,Amber,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,56,Jade,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,57,Flare,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,58,Nexon,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,59,Cosmo,SUMMER,CONVYER,LADIES,0,NO_IMAGE,No drawing-anchor image mapped to this article row
SUMMER PU,60,Bubble,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,61,Merida,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,62,Helder,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
